N° RPPS,Nom,Prénom,Spécialité,Date accréditation,OA,Nom équipe,Département,FINESS,Statut
10005171383,AB DER HALDEN,Maxime,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",29/12/2021,GYNERISQ,GYNERISQ-19,81,810000521,Libéral et salarié
10100284990,ABAD,Julien,Chirurgie orthopédique et traumatologie ;,01/04/2021,ORTHORISQ,,81,810000224,Libéral
10004612288,ABADIE,Pierre,Chirurgie orthopédique et traumatologie ;,06/06/2024,ORTHORISQ,,33,330780271,Libéral
10100411338,ABANE,Laurent,Chirurgie orthopédique et traumatologie ;,14/12/2023,ORTHORISQ,,72,720000199,Libéral
10001354694,ABBADI,Achakib,Chirurgie viscérale et digestive ;,29/12/2021,FCVD,,91,910300177,Libéral
10100393270,ABBAL,Bertrand,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,29/12/2021,CFAR,CFAR-56,34,340015502,Libéral
10100655405,ABBAS,Marcel,Chirurgie viscérale et digestive ;,26/11/2020,FCVD,,14,140018730,Libéral
10100655405,ABBAS,Marcel,Chirurgie viscérale et digestive ;,26/11/2020,FCVD,,14,950300095,Libéral
10004425590,ABBAS,Mehdi,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,28/04/2022,CFAR,,78,780300125,Libéral et salarié
10004425590,ABBAS,Mehdi,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,28/04/2022,CFAR,,78,910000298,Libéral et salarié
10100709145,ABBES,Leila,Gastro-entérologie (activité interventionnelle) ;,15/06/2023,CEFA-HGE,CEFA-HGE-49,75,750000523,Salarié
10100107969,ABBOU,Fatma,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",31/03/2022,GYNERISQ,,56,560008799,Libéral
10100539864,ABD EL FATTAH,Vincent,Chirurgie urologique ;,06/06/2024,AFU,AFU-83,34,340024314,Libéral
10100539864,ABD EL FATTAH,Vincent,Chirurgie urologique ;,06/06/2024,AFU,AFU-83,34,340780717,Libéral
10101453537,ABDELKRIM,Nazim,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,19/10/2023,CFAR,CFAR-6,44,440000974,Libéral
10100682367,ABDELLI,Amar,Chirurgie viscérale et digestive ;,27/05/2021,FCVD,,44,440041580,Libéral
10100110559,ABDELMOUMEN,Youssef,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,28/12/2022,CFAR,CFAR-76,33,330780446,Libéral
10002688728,ABDELNOUR,Riad-henri,"Chirurgie plastique, reconstructrice et esthétique ;",18/02/2021,PLASTIRISQ,,16,160013207,Libéral
10003768560,ABDENNEBI   ,Pierre,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",29/12/2020,GYNERISQ,,91,910300144,Libéral
10108310896,ABDESSATER,Maher,Chirurgie urologique ;,14/09/2023,AFU,AFU-02,95,750100125,Salarié
10108310896,ABDESSATER,Maher,Chirurgie urologique ;,14/09/2023,AFU,AFU-02,95,950000364,Salarié
10100599058,ABDOU,Abdelali,Chirurgie urologique ;,16/12/2021,AFU,AFU-35,95,950807982,Libéral
10002579570,ABDUL RAOUF,Ayman,Chirurgie vasculaire ;,23/11/2023,VASCURISQ,,15,150780732,Libéral
10005170419,ABDUL RAZAK,Roba,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",17/12/2020,GYNERISQ,,95,950300202,Libéral
10001627602,ABDUL-RAZAK,Waël,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",24/09/2020,GYNERISQ,,95,950300202,Libéral
10000436302,ABECASSIS,Marc,"Chirurgie plastique, reconstructrice et esthétique ;",16/07/2020,PLASTIRISQ,,,313150393,Libéral
10000436302,ABECASSIS,Marc,"Chirurgie plastique, reconstructrice et esthétique ;",16/07/2020,PLASTIRISQ,,,750301145,Libéral
10101143278,ABED RABBO,Francis,Neurochirurgie ;,14/09/2023,Collège de Neurochirurgie,,11,110780228,Libéral
10100288934,ABERGEL,Aurelie,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",03/02/2022,GYNERISQ,,33,330782582,Libéral
10100175578,ABET,Emeric,Chirurgie viscérale et digestive ;,14/09/2023,FCVD,,85,850000142,Libéral et salarié
10002293909,ABI FADEL,Antoine,Chirurgie viscérale et digestive ;,15/02/2024,FCVD,,41,410004998,Libéral
10107999442,ABI JAOUDE,Samiya,Neurochirurgie ;,21/12/2023,Collège de Neurochirurgie,Collège de Neurochirurgie-06,75,750000549,Salarié
10001633006,ABI LAHOUD,Georges,Neurochirurgie ;,26/11/2020,Collège de Neurochirurgie,,75,750300766,Libéral
10001633006,ABI LAHOUD,Georges,Neurochirurgie ;,26/11/2020,Collège de Neurochirurgie,,75,920300787,Libéral
10107864455,ABI RAAD,Jad,Chirurgie orthopédique et traumatologie ;,12/09/2024,ORTHORISQ,,62,620033753,Salarié
10101322823,ABID,Ahmed,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,29/12/2020,CFAR,CFAR-30,15,150780732,Libéral
10005178560,ABID,Nadia,Chirurgie urologique ;,16/02/2023,AFU,AFU-64,69,690783154,Salarié
10003241931,ABIHAIDAR,Georges,Chirurgie orthopédique et traumatologie ;,27/05/2021,ORTHORISQ,,84,840013445,Libéral
10001448207,ABIRACHED,Fadi,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",28/12/2022,GYNERISQ,GYNERISQ-24,49,490014909,Libéral
10100042943,ABITA,Thiare juvenal,Chirurgie viscérale et digestive ;,01/07/2021,FCVD,,19,190000257,Libéral
10002667375,ABITTAN,Stephane,Gastro-entérologie (activité interventionnelle) ;,15/06/2023,CEFA-HGE,,35,350002192,Libéral
10100993137,ABNOUN,Sarah,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",21/12/2023,GYNERISQ,GYNERISQ-24,49,490014909,Libéral
10001578250,ABOU EL HASSAN,Najib,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",03/02/2022,GYNERISQ,,91,910001098,Libéral et salarié
